100.00, 0.00, 50.00, 50.00, 0.00, 50.00, 0.00, 0.00, 50.00, 100.00, 100.00, 50.00, 0.00, 50.00, 50.00, 100.00, 50.00, 100.00, 50.00, 0.00, 100.00, 50.00, 100.00, 50.00, 50.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
50.00, 50.00, 50.00, 50.00, 0.00, 0.00, 0.00, 100.00, 0.00, 50.00, 100.00, 50.00, 50.00, 0.00, 100.00, 50.00, 100.00, 0.00, 50.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 50.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
50.00, 50.00, 0.00, 50.00, 0.00, 0.00, 0.00, 0.00, 50.00, 100.00, 50.00, 100.00, 100.00, 0.00, 100.00, 0.00, 50.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
50.00, 100.00, 50.00, 0.00, 100.00, 0.00, 50.00, 100.00, 50.00, 50.00, 50.00, 50.00, 0.00, 100.00, 50.00, 100.00, 100.00, 100.00, 50.00, 50.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
50.00, 0.00, 0.00, 50.00, 0.00, 100.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 0.00, 50.00, 50.00, 50.00, 100.00, 100.00, 100.00, 0.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
50.00, 50.00, 100.00, 100.00, 50.00, 50.00, 50.00, 0.00, 50.00, 0.00, 0.00, 50.00, 50.00, 50.00, 0.00, 50.00, 100.00, 100.00, 100.00, 100.00, 50.00, 100.00, 50.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
100.00, 0.00, 0.00, 100.00, 0.00, 50.00, 50.00, 0.00, 0.00, 0.00, 50.00, 100.00, 50.00, 100.00, 50.00, 50.00, 50.00, 100.00, 100.00, 100.00, 100.00, 0.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
0.00, 50.00, 50.00, 0.00, 0.00, 50.00, 50.00, 0.00, 50.00, 0.00, 50.00, 50.00, 0.00, 100.00, 100.00, 50.00, 0.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
100.00, 0.00, 0.00, 0.00, 50.00, 0.00, 100.00, 50.00, 50.00, 100.00, 100.00, 0.00, 50.00, 50.00, 50.00, 100.00, 0.00, 100.00, 50.00, 100.00, 100.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
50.00, 50.00, 50.00, 50.00, 0.00, 50.00, 50.00, 50.00, 50.00, 50.00, 50.00, 0.00, 50.00, 100.00, 50.00, 100.00, 100.00, 100.00, 50.00, 100.00, 50.00, 50.00, 100.00, 50.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 
